X;Y;Z;Tempo
-0.08012962;1.034436;5.470725;11:35:03
0.1697259;1.008817;5.27493;11:35:04
0.4369607;1.01838;4.696316;11:35:05
0.4415002;0.9916114;4.351883;11:35:06
0.4774804;1.003453;4.460215;11:35:07
0.2428594;1.002572;4.43697;11:35:08
0.1661954;0.9940659;4.152086;11:35:09
0.1967297;0.9759376;4.077021;11:35:10
0.17064;0.982182;4.104561;11:35:11
0.1735592;0.9885628;4.123707;11:35:12
0.1644778;0.97389;4.105329;11:35:13
0.2708826;0.9636801;4.243483;11:35:14
0.3313766;0.9763242;4.303143;11:35:15
0.3058887;0.9776501;4.380549;11:35:16
0.2616997;0.9607637;4.375391;11:35:17
0.230957;0.9434286;4.34281;11:35:18
0.3316274;0.9846518;4.328963;11:35:19
0.4262218;0.9902335;4.669241;11:35:20
0.3654175;0.9921609;4.950463;11:35:21
0.4129434;0.9911709;4.854633;11:35:22
0.4850883;1.000599;4.697723;11:35:23
0.5125275;1.021311;4.363561;11:35:24
0.2262244;1.014578;4.256467;11:35:25
-0.06560278;0.9987705;4.085608;11:35:26
-0.07554483;1.003414;4.067943;11:35:27
-0.08412313;0.9948133;4.075861;11:35:28
-0.06741524;0.9951745;4.109406;11:35:29
-0.01999331;1.002979;4.084374;11:35:30
-0.03337049;1.003983;4.036458;11:35:31
-0.07224846;1.015228;4.049459;11:35:32
-0.02308798;0.9861165;4.094535;11:35:33
-0.03726578;0.9585761;4.105002;11:35:34
0.006183147;0.9606326;4.116033;11:35:35
0.09654856;0.959894;4.198641;11:35:36
0.1662955;0.9920298;4.217946;11:35:37
0.2082005;0.9730043;4.237603;11:35:38
0.1507411;0.9700793;4.291447;11:35:39
0.1683388;0.955814;4.451381;11:35:40
0.1601992;0.9656644;4.407415;11:35:41
0.2162027;0.9805179;4.405453;11:35:42
0.3324976;1.012632;4.485822;11:35:43
0.4292293;1.01971;4.722169;11:35:44
0.6988385;1.020944;4.949138;11:35:45
0.970953;1.035354;5.330557;11:35:46
1.43655;1.021968;5.642429;11:35:47
1.757632;1.039625;6.158549;11:35:48
1.758606;1.038296;6.710979;11:35:49
1.826576;1.052888;7.084403;11:35:50
1.776038;1.072557;7.359265;11:35:51
1.771157;1.060742;7.271405;11:35:52
1.715091;1.038389;7.410291;11:35:53
1.768054;1.0412;7.196845;11:35:54
1.648292;1.022526;7.007114;11:35:55
1.639127;1.002066;6.865965;11:35:56
1.600189;1.033092;6.379903;11:35:57
1.527064;1.03535;5.815172;11:35:58
1.111113;1.014382;5.350446;11:35:59
0.6165252;1.00946;5.098827;11:36:00
0.3595371;0.990269;4.965308;11:36:01
0.3181653;0.9842563;5.051088;11:36:02
0.3309722;0.9793997;5.037932;11:36:03
0.4793944;0.977487;4.999259;11:36:04
0.6071229;0.973404;5.074602;11:36:05
0.6001606;0.9921986;4.956521;11:36:06
0.2924533;0.9739439;4.911834;11:36:07
0.3682866;0.9784967;4.914609;11:36:08
0.356658;0.9822874;4.891249;11:36:09
0.4471378;1.035436;4.593217;11:36:10
0.3254671;1.022153;4.078954;11:36:11
0.3865237;1.013002;3.430722;11:36:12
0.4932833;1.051107;2.80847;11:36:13
0.4766431;1.027497;2.159793;11:36:14
0.532423;0.9908474;1.654281;11:36:16
0.4892626;1.032183;1.440775;11:36:16
0.6101384;1.039142;1.343405;11:36:18
0.5230341;1.029654;1.327855;11:36:19
0.5643902;1.013586;1.550392;11:36:20
0.4085822;1.000918;1.565339;11:36:21
0.4343266;0.9656032;1.752195;11:36:22
0.611681;0.9570429;1.865201;11:36:23
0.9284086;1.01872;1.839229;11:36:24
1.00992;1.048429;1.922967;11:36:25
1.163811;1.039496;1.980913;11:36:26
1.076294;0.9954261;2.016448;11:36:27
1.187036;0.9751801;1.843072;11:36:28
1.093363;0.9556066;1.647395;11:36:29
0.9391398;0.9522964;1.218091;11:36:30
0.9243653;0.9427596;1.114389;11:36:31
1.079497;0.9397875;1.105532;11:36:32
0.9177737;1.036373;1.273111;11:36:33
0.8817108;1.051395;1.369197;11:36:34
0.7091029;0.9840847;1.293789;11:36:35
0.7743495;0.9682289;1.350833;11:36:36
0.7916126;1.035691;1.512839;11:36:37
0.6822472;0.979376;1.573971;11:36:38
0.7132723;0.9579462;1.542334;11:36:39
0.8814719;0.9472668;1.35245;11:36:40
